,nama_brand,nama_produk,nama_sub_produk,rating_produk,total_review,nama_produk_lengkap
0,HINT,Fatale Extrait de Parfum,,4.2,894,Fatale Extrait de Parfum
1,The Body Shop,White Musk Eau de Parfum,,4.3,604,White Musk Eau de Parfum
2,Saff & Co.,S.O.T.B Extrait de Parfum,,4.1,568,S.O.T.B Extrait de Parfum
3,HMNS Perfume,Orgasm,,4.0,515,Orgasm
4,Evangeline,Eau De Perfume Sakura Series,Black Sakura,4.1,442,Eau De Perfume Sakura Series Black Sakura
5,BVLGARI,Omnia Amethyste Perfume,Woody,4.5,331,Omnia Amethyste Perfume Woody
6,Victoria's Secret,Bombshell EDP,,4.6,295,Bombshell EDP
7,HMNS Perfume,Essence of Sun,,4.3,257,Essence of Sun
8,Yves Saint Laurent,Black Opium Eau de Parfum,,4.5,256,Black Opium Eau de Parfum
9,Chloe,Chloe Eau de Parfum,,4.6,251,Chloe Eau de Parfum
10,Kenzo,Flower,,4.1,230,Flower
11,ZARA,Gardenia EDP,,4.4,223,Gardenia EDP
12,Lancome,La Vie Est Belle EDP,,4.4,193,La Vie Est Belle EDP
13,BVLGARI,Rose Essentielle,Floral,4.5,193,Rose Essentielle Floral
14,Chanel,Coco Mademoiselle Eau de Parfum Spray,Orange Bergamot Vanilla White Musk,4.5,184,Coco Mademoiselle Eau de Parfum Spray Orange Bergamot Vanilla White Musk
15,Vitalis,Eau de Royale,Couture,4.3,171,Eau de Royale Couture
16,Pinkberry,Wildberry EDP,,4.5,168,Wildberry EDP
17,OLMORVA,Major Icon EDP,,4.3,163,Major Icon EDP
18,Saff & Co.,Loui Extrait de Parfum,,4.6,163,Loui Extrait de Parfum
19,Chanel,N* 5 Eau de Parfum Spray,,3.8,156,N* 5 Eau de Parfum Spray
20,HMNS Perfume,Ambar Janma,,4.2,155,Ambar Janma
21,OLMORVA,Sparkling Escape EDP,,5.0,153,Sparkling Escape EDP
22,Yves Saint Laurent,Libre Eau de Parfum,,4.8,151,Libre Eau de Parfum
23,OLMORVA,Duchess Charm EDP,,5.0,150,Duchess Charm EDP
24,OLMORVA,Weekend Daydream EDP,,4.2,149,Weekend Daydream EDP
25,Mine.,Ethereal,,4.7,147,Ethereal
26,Oriflame,Giordani Gold Essenza EDP,,4.7,144,Giordani Gold Essenza EDP
27,Sarah Jessica Parker,Lovely Eau de Parfum,,4.1,144,Lovely Eau de Parfum
28,Gucci,Bloom,Bloom,4.2,139,Bloom Bloom
29,Giorgio Armani,Si Eau de Parfum,,4.6,136,Si Eau de Parfum
30,Vitalis,Eau de Royale,Her Majesty,4.2,135,Eau de Royale Her Majesty
31,Fordive,Feeling Good,,4.1,134,Feeling Good
32,Victoria's Secret,Noir Tease EDP,,4.4,134,Noir Tease EDP
